Code,Course Name,GE Field,Lecturer,Credit,Time & Venue,Quota,Apply
G0201,Principles of Economics (Group 4),Business,Huang Yi,3,Tuesday 4.00pm-7.00pm(A5#G01)(Week 1-5) | Wednesday 5.00pm-8.00pm(A2#G07)(Week 1-5) | Thursday 12.00pm-3.00pm(A4#G07)(Week 1-5),114,114
G0249,Principles of Health Economics,Business,Than Lee Lee,2,Monday 2.00pm-4.00pm(A5#G01)(Week 1-5) | Tuesday 10.00am-12.00pm(B1#114-Lecture Theater)(Week 1-5) | Thursday 3.00pm-5.00pm(A2#G01)(Week 1-5),114,114
G0206,Principles of Management (Group 1),Business,Lyu Yao,2,Tuesday 2.00pm-4.00pm(A3#602)(Week 1-5) | Wednesday 9.00am-11.00am(A2#G01)(Week 1-5) | Thursday 12.00pm-2.00pm(A3#620)(Week 1-5),48,29
G0206,Principles of Management (Group 2),Business,Sabirah Binti Sulaiman,2,Tuesday 3.00pm-5.00pm(A3#517)(Week 1-5) | Wednesday 12.00pm-2.00pm(A2#G01)(Week 1-5) | Thursday 10.00am-12.00pm(A3#508)(Week 1-5),114,34
G0206,Principles of Management (Group 3),Business,Mas Azira Binti Mohamed,2,Wednesday 9.00am-12.00pm(A5#G07)(Week 1-5) | Thursday 9.00am-12.00pm(A2#G01)(Week 1-5),114,40
G0202,Principles of Marketing (Group 1),Business,Loo Poh Theng,3,Monday 10.00am-1.00pm(A3#508)(Week 1-5) | Wednesday 3.00pm-6.00pm(A4#103)(Week 1-5) | Friday 9.00am-12.00pm(A1#213)(Week 1-5),105,105
G0202,Principles of Marketing (Group 2),Business,Ooi Tze Wei,3,Monday 9.00am-12.00pm(A3#509)(Week 1-5) | Wednesday 12.00pm-3.00pm(A2#G07)(Week 1-5) | Friday 10.00am-1.00pm(A3#602)(Week 1-5),105,105
G0202,Principles of Marketing (Group 3),Business,Zhu Xiaofan,3,Tuesday 12.00pm-3.00pm(A3#509)(Week 1-5) | Wednesday 11.00am-2.00pm(A3#602)(Week 1-5) | Thursday 9.00am-12.00pm(A4#103)(Week 1-5),105,105
G0234,Python Programming in Business (Group 1),Business,Nisar Saima,3,Tuesday 2.00pm-5.00pm(A2#105)(Week 1-5) | Wednesday 9.00am-12.00pm(A2#G11)(Week 1-5) | Thursday 9.00am-12.00pm(A4#G06)(Week 1-5),86,86
G0234,Python Programming in Business (Group 2),Business,Thagirarani A/P Muniandy,3,Tuesday 2.00pm-5.00pm(A4#102)(Week 1-5) | Wednesday 2.00pm-5.00pm(A1#G04)(Week 1-5) | Thursday 9.00am-12.00pm(A2#G09)(Week 1-5),86,86
